,krankenhausStandort/bezeichnung,bettenStatus/statusHighCare,krankenhausStandort/position/latitude,krankenhausStandort/position/longitude,free_icu_beds_percent,staff_utilization_percent
655,"Hochtaunus-Kliniken gGmbH, Hochtaunus-Kliniken gGmbH Bad Homburg",VERFUEGBAR,50.212522757026996,8.618133902582,64,92
656,Sana Klinikum Offenbach GmbH,VERFUEGBAR,50.094192075512,8.756854444764,60,92
657,Ketteler Krankenhaus,VERFUEGBAR,50.09483837005,8.784871816652,62,92
658,"Asklepios Kliniken Langen - Seligenstadt GmbH, Asklepios Klinik Langen",VERFUEGBAR,49.998422625474994,8.683548688823,41,94
659,"St. Vinzenz-Krankenhaus Hanau gGmbH, St. Vinzenz-Krankenhaus Hanau Haupthaus",VERFUEGBAR,50.135372925729996,8.912375610716,62,98
660,Kreiskrankenhaus Schotten,VERFUEGBAR,50.506746886286,9.104161977702,36,96
661,"Klinikum Aschaffenburg-Alzenau gemeinnützige GmbH, Standort Aschaffenburg",VERFUEGBAR,49.977267858552,9.187191367181999,44,95
662,"Helios-Klinik Erlenbach, Hauptstandort",VERFUEGBAR,49.811506031558,9.166757011499,53,100
663,"Klinikum Darmstadt GmbH, Klinikum Darmstadt, Hauptstandort",VERFUEGBAR,49.874026919175996,8.646875247359,41,92
664,"AGAPLESION ELISABETHENSTIFT EVANGELSICHES KRANKENHAUS, AGAPLESION ELISABETHENSTIFT EVANGELISCHES KRANKENHAUS",VERFUEGBAR,49.87347721994799,8.665795683828,49,92
665,"Darmstädter gemeinnützige Kinderklinikenbetriebs-GmbH, Darmstädter Kinderkliniken Prinzessin Margaret",VERFUEGBAR,49.876968913713,8.663852691716,56,93
666,"Stiftung Alice-Hospital vom Roten Kreuz zu Darmstadt, Alice-Hospital Darmstadt - Dieburger Straße",VERFUEGBAR,49.87747190423801,8.66481560467,59,91
667,"Kreiskliniken Darmstadt-Dieburg, Jugenheim",VERFUEGBAR,49.753427539044,8.638485431802,65,94
668,Heilig-Geist Hospital,VERFUEGBAR,49.67828037074099,8.620446503146,62,97
669,"Kreiskrankenhaus Bergstraße gGmbH, Hauptstandort",VERFUEGBAR,49.628413580172,8.62520313276,62,98
670,"St. Josefs-Hospital Wiesbaden GmbH, St. Josefs-Hospital Wiesbaden  GmbH",VERFUEGBAR,50.076387329685,8.254051923686,61,95
671,DKD Helios Klinik Wiesbaden,VERFUEGBAR,50.086819296068,8.269077122195,58,95
672,Asklepios Paulinen Klinik Wiesbaden,VERFUEGBAR,50.072435808281,8.226556599116,52,100
673,"Helios Dr. Horst Schmidt Kliniken GmbH, Helios Dr. Horst-Schmidt-Kliniken",VERFUEGBAR,50.06569063269399,8.191581665733,36,96
674,"GPR Klinikum Rüsselsheim, Hauptstandort",VERFUEGBAR,49.983361564774,8.423935532537,40,100
675,"Helios Kliniken Idstein, Helios Klinik Idstein",VERFUEGBAR,50.208816781219994,8.26370787614,52,95
676,"St. Vincenz-Krankenhaus Limburg, Limburg",VERFUEGBAR,50.387810499459,8.051592886432001,61,93
677,"Kliniken des Main-Taunus-Kreises GmbH, Kliniken des Main-Taunus-Kreises GmbH, Standort Bad Soden am Taunus",VERFUEGBAR,50.150609490134,8.5135974886,59,94
678,"Klinikum Frankfurt Höchst GmbH, Klinikum Frankfurt Höchst",VERFUEGBAR,50.107939612681996,8.543833494186,37,91
679,"Evang. Stadtkrankenhaus Saarbrücken, Evangelisches Stadtkrankenhaus Saarbrücken",VERFUEGBAR,49.233049841787995,7.003756561317,46,91
680,"CaritasKlinikum Saarbrücken, St. Theresia Saarbrücken",VERFUEGBAR,49.247909394406,6.959429457711001,54,95
681,"Klinikum saarbrücken gGmbH, Hauptstandort",VERFUEGBAR,49.221065672421,6.996766018751,36,95
682,"CaritasKlinikum Saarbrücken, St. Josef Dudweiler",VERFUEGBAR,49.277282248559,7.041061855853,40,99
683,"Knappschaftsklinikum Saar GmbH, Krankenhaus Sulzbach, Krankenhaus Sulzbach",VERFUEGBAR,49.298185778500006,7.055252552163,52,91
684,"SHG Kliniken Völklingen, SHG-Kliniken Völklingen",VERFUEGBAR,49.257505260318005,6.852072000438,58,100
685,"Knappschaftsklinikum Saar GmbH, Krankenhaus Püttlingen, Krankenhaus Püttlingen",VERFUEGBAR,49.276883786874,6.868356228006,46,100
686,"Kreiskrankenhaus St. Ingbert, Einziger Standort",VERFUEGBAR,49.290550240754996,7.113414645228,62,100
687,"Universitätsklinikum des Saarlandes, Universitätsklinikum des Saarlandes Homburg",VERFUEGBAR,49.308912016795,7.3457320332360005,63,97
688,"Nardini Klinikum GmbH, St. Elisabeth Zweibrücken",VERFUEGBAR,49.246426398104,7.363770827651,40,100
689,Diakonie Klinikum Neunkirchen gGmbH,VERFUEGBAR,49.340971867017004,7.183249779046,49,93
690,Klinikum Merzig gGmbH,VERFUEGBAR,49.457251697955996,6.633046781570999,59,93
691,Marienhausklinik St. Josef - Losheim am See,VERFUEGBAR,49.50879304057901,6.7400113642270005,46,92
692,"Krankenhaus Saarlouis vom DRK, Hauptstandort",VERFUEGBAR,49.313775044676,6.744250450283,49,98
693,"Marienhaus Klinikum St. Elisabeth Saarlouis, Marienhaus Klinikum Saarlouis - Dillingen, Standort Saarlouis",VERFUEGBAR,49.315198364389,6.756520986491999,63,91
694,Caritas Krankenhaus Lebach,VERFUEGBAR,49.419164120819,6.889797806707,47,96
695,"Nardini Klinikum GmbH, St. Johannis Landstuhl",VERFUEGBAR,49.399000200181,7.581995353103,53,99
696,"St. Elisabeth-Krankenhaus, Rodalben, Hauptstandort",VERFUEGBAR,49.241386513954,7.63412301244,48,93
697,"Klinikum der Stadt Ludwigshafen am Rhein gGmbH, Klinikum Ludwigshafen",VERFUEGBAR,49.490855655148,8.423893690305999,55,99
698,"St. Marienkrankenhaus und St. Annastiftskrankenhaus, St. Marienkrankenhaus Ludwigshafen",VERFUEGBAR,49.458123742438005,8.408190697219,52,91
699,Berufsgenossenschaftliche Unfallklinik Ludwigshafen,VERFUEGBAR,49.485865508321,8.388782501352,63,93
700,"Evangelische Krankenhaus Bad Dürkheim gGmbH, Evangelisches Krankenhaus Bad Dürkheim",VERFUEGBAR,49.466536086758005,8.178756952302,48,100
701,Stadtklinik Frankenthal,VERFUEGBAR,49.542970869076996,8.330806016857,50,93
702,Kreiskrankenhaus Grünstadt,VERFUEGBAR,49.563856902112,8.157812386735,59,95
703,Diakonissen-Stiftungs-Krankenhaus Speyer,VERFUEGBAR,49.310583791423,8.435867607577,37,96
704,"Marienhaus Klinikum Hetzelstift Neustadt/W, Hauptstandort",VERFUEGBAR,49.346555163068,8.149718821032,53,99
705,"Klinikum Worms gGmbH, Klinikum",VERFUEGBAR,49.64978561206701,8.320514273473,46,97
706,"Westpfalz-Klinikum Kaiserslautern - Kusel, Westpfalz-Klinikum StO Kaiserslautern",VERFUEGBAR,49.442308209042,7.756798267365,45,96
707,Diakonissenkrankenhaus Mannheim,VERFUEGBAR,49.464373064597,8.471255949153,53,94
708,"St. Marien Krankenhaus Lampertheim GmbH, St. Marien Krankenhaus Lampertheim",VERFUEGBAR,49.597247182641,8.467209434538999,55,97
709,GRN-Klinik Schwetzingen,VERFUEGBAR,49.378075351197005,8.570155084117,56,91
710,"Universitätsklinikum Heidelberg, Campus Neuenheimer Feld",VERFUEGBAR,49.41552091763,8.666354656252,46,93
711,"Krankenhaus Salem, Hauptstandort",VERFUEGBAR,49.423502451834004,8.684420675031001,40,95
712,"Thoraxklinik Heidelberg, Hauptstandort",VERFUEGBAR,49.377395602476994,8.689904853698,38,95
713,GRN-Klinik Eberbach,VERFUEGBAR,49.46337696797,8.990470513697,60,93
714,GRN-Klinik Weinheim,VERFUEGBAR,49.549707590859,8.645036995395,64,91
715,"Klinikum Stuttgart, Klinikum Stuttgart - KH - Katharinenhospital",VERFUEGBAR,48.783280428725995,9.173467040046,42,99
716,"Klinikum Stuttgart, Klinikum Stuttgart - OH/FK - Olgahospital/Frauenklinik",VERFUEGBAR,48.783202666072995,9.173708438857,47,97
717,"Sana Herzchirurgie Stuttgart GmbH, Sana Herzchirurgie Stuttgart",VERFUEGBAR,48.783142647431,9.170659946976,56,91
718,Diakonie-Klinikum Stuttgart,VERFUEGBAR,48.781751663568,9.163940906656,50,99
719,Sana Klinik Bethesda Stuttgart gGmbH,VERFUEGBAR,48.772118488409006,9.187977790898,43,91
720,Karl-Olga-Krankenhaus,VERFUEGBAR,48.789273693351,9.203697305707001,50,95
721,Marienhospital Stuttgart,VERFUEGBAR,48.76125464519399,9.163320243383,62,98
722,Krankenhaus vom Roten Kreuz Bad Cannstatt GmbH,VERFUEGBAR,48.803529450519,9.212520298368,53,94
723,Robert-Bosch-Krankenhaus,VERFUEGBAR,48.815082316815,9.186542808993,39,97
724,"Die Filderklinik, Filderklinik",VERFUEGBAR,48.647647546769,9.204562492669,52,92
725,"Klinikum Sindelfingen-Böblingen, Kliniken Böblingen",VERFUEGBAR,48.69031412496199,9.032980442080001,47,93
726,"Klinikum Sindelfingen-Böblingen, Kliniken Sindelfingen",VERFUEGBAR,48.715365464627,9.023957490954,50,97
727,"Kreiskrankenhaus Herrenberg, Krankenhaus Herrenberg",VERFUEGBAR,48.591850404104996,8.874998331102999,44,100
728,Rems-Murr-Klinikum Winnenden,VERFUEGBAR,48.870055503957005,9.392342805895,47,92
729,Klinikum Ludwigsburg,VERFUEGBAR,48.898362324729995,9.203446626598,39,92
730,"BG Klinik Ludwigshafen und Tübingen gGmbH, Standort Tübingen",VERFUEGBAR,48.533593888862,9.035523176226,56,91
731,"Kreisklinikum Calw-Nagold, Kliniken Nagold",VERFUEGBAR,48.541709160802,8.72203570606,60,98
732,"Krankenhäuser Landkreis Freudenstadt gGmbH, Krankenhaus Freudenstadt",VERFUEGBAR,48.477463125122995,8.405019387599,40,92
733,"Zollernalb Klinikum gGmbH, Balingen",VERFUEGBAR,48.277714822745,8.857531785998,51,95
734,"SRH Kliniken Landkreis Sigmaringen GmbH, SRH Krankenhaus Sigmaringen",VERFUEGBAR,48.096319472168,9.225757509462,65,98
735,"Klinikum am Steinenberg/Ermstalklinik, Klinikum am Steinenberg",VERFUEGBAR,48.48374334352899,9.218193680039999,37,93
736,"ALB FILS KLINIKEN GmbH, Klinik am Eichert",VERFUEGBAR,48.690485873164995,9.65062236799,63,98
737,"medius KLINIKEN KIRCHEIM | NÜRTINGEN, medius KLINIK KIRCHHEIM",VERFUEGBAR,48.652068749627,9.442178785785,46,96
738,Ostalb-Klinikum Aalen,VERFUEGBAR,48.848839142222005,10.084305524761,36,100
739,"St. Anna-Virngrund-Klinik Ellwangen, St. Anna-Virngrund-Klinik - ZNA",VERFUEGBAR,48.957404202103994,10.132435083324,51,94
740,Stauferklinikum Schwäbisch Gmünd,VERFUEGBAR,48.819912672540006,9.787352800304001,51,93
741,Rems-Murr-Klinik Schorndorf,VERFUEGBAR,48.797742186794004,9.528851151499,43,100
742,"Klinikum Esslingen, Hauptstandort",VERFUEGBAR,48.737131873676994,9.326441483572001,60,92
743,"medius KLINIK OSTFILDERN-RUIT, medius KLINIK OSTFILDERN - RUIT",VERFUEGBAR,48.741633665497,9.254379630056,40,95
744,"SLK-Kliniken Heilbronn GmbH- Klinikum am Gesundbrunnen Heilbronn, Klinikum am Gesundbrunnen",VERFUEGBAR,49.153964321063,9.191268878057999,44,96
745,"Klinikum am Plattenwald, Klinikum am Plattenwald, Bad Friedrichshall",VERFUEGBAR,49.21182922760801,9.23586923629,42,98
746,"Klinik Löwenstein gGmbH, Klinik Löwenstein",VERFUEGBAR,49.090184701511,9.402691321447001,52,91
747,"Krankenhaus Bietigheim-Vaihingen, Krankenhaus Bietigheim",VERFUEGBAR,48.957206948222,9.135254144603,42,97
748,"Diakonie-Klinikum Schwäbisch Hall gGmbH, Diakonie-Klinikum Schwäbisch Hall gGmbH - Hauptstandort",VERFUEGBAR,49.124631741102,9.741652250323,44,93
749,Neckar-Odenwald-Kliniken gGmbH Krankenhaus Mosbach,VERFUEGBAR,49.356088989289,9.153085738412,37,100
750,Helios Klinikum Pforzheim GmbH,VERFUEGBAR,48.88855931467,8.711673259768,36,92
751,"Siloah St. Trupdert Klinikum, Siloah St. Trudpert Klinikum",VERFUEGBAR,48.897418963392,8.67268520592,37,92
752,"Kreisklinikum Calw-Nagold, Kliniken Calw",VERFUEGBAR,48.715237159619996,8.745196580903,57,95
753,"Städtisches Klinikum Karlsruhe gGmbH, Städtisches Klinikum",VERFUEGBAR,49.017178424467,8.373053893447,42,94
754,"Vincentius-Diakonissen-Kliniken Karlsruhe, St. Vincentius-Kliniken",VERFUEGBAR,48.999769280084,8.379481673192,49,97
755,Helios Klinik für Herzchirurgie Karlsruhe,VERFUEGBAR,49.018093137891,8.375674009257999,51,91
756,"Vincentius-Diakonissen-Kliniken Karlsruhe, Diakonissenkrankenhaus",VERFUEGBAR,48.972140735067995,8.409467697029001,52,95
757,"SRH Klinikum Karlsbad, SRH Klinikum Karlsbad-Langensteinbach",VERFUEGBAR,48.904304210237,8.502052187887,62,100
758,"Klinikum Mittelbaden Baden-Baden Bühl, Klinikum Mittelbaden Baden-Baden Bühl Standort Balg",VERFUEGBAR,48.784711946944,8.216414630397,59,100
759,"Asklepios Südpfalzkliniken GmbH, Asklepios Südpfalzklinik Germersheim",VERFUEGBAR,49.219963982877,8.365733206256,37,94
760,"Klinikum Landau-Südliche Weinstraße GmbH, Klinik Landau",VERFUEGBAR,49.205934285286,8.103765808046,53,93
761,"Vinzentius-Krankenhaus Landau, Hauptstandort",VERFUEGBAR,49.190309387391004,8.11456525329,50,98
762,"Asklepios Südpfalzkliniken GmbH, Asklepios Südpfalzklinik Kandel",VERFUEGBAR,49.086095403462,8.200444757922,36,96
763,"Klinikum Landau-Südliche Weinstraße GmbH, Klinik Bad Bergzabern",VERFUEGBAR,49.106197437195995,7.999966666102001,36,92
764,"Ortenau Klinikum Offenburg-Kehl, Offenburg",VERFUEGBAR,48.476152222025,7.954721689256999,45,92
765,"Ortenau Klinikum Offenburg-Kehl, Kehl",VERFUEGBAR,48.56808479433,7.811596870488,37,97
766,ORTENAU KLINIKUM Wolfach,VERFUEGBAR,48.303127834014,8.22265398504,64,97
767,"Ortenau Klinikum Achern-Oberkirch, Achern",VERFUEGBAR,48.625259643984,8.067199265724,55,93
768,MediClin Herzzentrum Lahr/Baden,VERFUEGBAR,48.339887415202,7.8908563616639995,62,99
769,"Ortenau Klinikum Lahr-Ettenheim, Ortenau Klinikum Lahr-Ettenheim Betriebsstelle Lahr",VERFUEGBAR,48.344197339318,7.886052310449999,46,97
770,"Schwarzwald-Baar Klinikum, Schwarzwald-Baar Klinikum, Villingen-Schwenningen",VERFUEGBAR,48.065172915773,8.499393045886,52,91
771,"Hegau-Bodensee-Klinikum (Standorte: Singen, Radolfzell, Stühlingen), Hegau-Bodensee-Klinikum Singen",VERFUEGBAR,47.75976089215,8.821524471036,51,92
772,"Krankenhaus Stockach GmbH, Stockach",VERFUEGBAR,47.853306607897,9.009404897624,62,100
773,"Herz- Zentrum Bodensee, Hauptstandort Herz-Zentrum",VERFUEGBAR,47.671732707494,9.185561120494,38,93
774,Klinikum Konstanz GmbH,VERFUEGBAR,47.671434693748,9.188467025888,62,99
775,"Klinikum Landkreis Tuttlingen gGmbH, Gesundheitszentrum Tuttlingen",VERFUEGBAR,47.9845001845,8.831166811287,59,97
776,Helios Klinik Rottweil,VERFUEGBAR,48.165042443184994,8.612275958094,43,91
777,SRH Krankenhaus Oberndorf a.N. GmbH,VERFUEGBAR,48.296194049259995,8.578818619235,44,100
778,"Loretto-Krankenhaus Freiburg, Loretto-Krankenhaus",VERFUEGBAR,47.983256035404,7.840717613681001,47,91
779,St. Josefskrankenhaus Freiburg,VERFUEGBAR,48.001809236905004,7.851977527124999,49,96
780,Universitätsklinikum Freiburg,VERFUEGBAR,48.00524474827699,7.839340925129,48,96
781,"Ev. Diakoniekrankenhaus Freiburg, Hauptstandort",VERFUEGBAR,48.023886676398,7.815443426371,59,94
782,"Universitäts-Herzzentrum Freiburg-Bad Krozingen GmbH, Bad Krozingen",VERFUEGBAR,47.907658180681,7.7005285665450005,45,98
783,Helios Rosmann Klinik Breisach,VERFUEGBAR,48.030878567693996,7.586283803003,49,100
784,Kreiskrankenhaus Emmendingen,VERFUEGBAR,48.125474212433005,7.855668783286,53,93
785,"Kliniken des Landkreises Lörrach GmbH, Krankenhaus Lörrach",VERFUEGBAR,47.61440782515,7.6590980077160005,48,95
786,"Klinikum Hochrhein GmbH, Waldshut",VERFUEGBAR,47.622573569653994,8.20764105767,37,97
787,Helios-Klinik Titisee-Neustadt,VERFUEGBAR,47.925955014596006,8.187232732706999,46,91
788,"Klinik St. Blasien GmbH, Hauptstandort",VERFUEGBAR,47.763813179211,8.128093242776,61,97
789,"ISAR Klinikum, Hauptstandort",VERFUEGBAR,48.134709945684,11.565120398982,64,100
790,"Klinikum der Universität München, Klinikum der Universität München - Standort Innenstadt",VERFUEGBAR,48.132668345376,11.56221556666,65,92
791,"Rotkreuzklinikum München gGmbH, Rotkreuzklinikum München",VERFUEGBAR,48.15414180853,11.532668871805,46,93
792,Deutsches Herzzentrum München,VERFUEGBAR,48.152494658541,11.548920392925,44,92
793,"Klinikum Dritter Orden München-Nymphenburg, Hauptstandort",VERFUEGBAR,48.165004874192,11.505552292001,56,94
794,Krankenhaus Neuwittelsbach,VERFUEGBAR,48.156890901522,11.5256467566,59,93
795,München Klinik Schwabing,VERFUEGBAR,48.170562997054006,11.577624321017002,36,92
796,Klinik Augustinum München,VERFUEGBAR,48.122439430874,11.487963974460001,59,94
797,Chirurgisches Klinikum München Süd,VERFUEGBAR,48.102795851913996,11.548877477580001,41,96
798,"Internistisches Klinikum München Süd GmbH, Hauptstandort",VERFUEGBAR,48.102343257345,11.547908233669999,40,95
799,Krankenhaus Martha-Maria München,VERFUEGBAR,48.085313640154,11.534259063024,47,92
800,München Klinik Harlaching,VERFUEGBAR,48.085567292582,11.557083964381,61,97
801,"Klinikum rechts der Isar der TU München, Stammgelände",VERFUEGBAR,48.137004031183004,11.598835229825001,44,91
802,München Klinik Neuperlach,VERFUEGBAR,48.095395999886996,11.656508088145001,47,100
803,"Arabella-Klinik GmbH, Arabella-Klinik",VERFUEGBAR,48.151186563686,11.618415355715001,58,99
804,München Klinik Bogenhausen,VERFUEGBAR,48.155259263671,11.624686360392001,44,100
805,"Asklepios Fachkliniken München-Gauting, München-Gauting",VERFUEGBAR,48.06630037314,11.353591203624001,58,99
806,"Privatklinik Dr. R. Schindlbeck GmbH & CoKG, Hauptstandort",VERFUEGBAR,47.994762821609996,11.170572834089,39,94
807,Klinikum Fürstenfeldbruck,VERFUEGBAR,48.180615104002,11.259284198268,38,96
808,Krankenhaus Weilheim,VERFUEGBAR,47.83741268819,11.144314741823,42,91
809,Klinikum Penzberg,VERFUEGBAR,47.754748961964,11.375938296350999,58,91
810,BG Klinikum Murnau gGmbH,VERFUEGBAR,47.67170922768501,11.216090440685,64,100
811,Klinikum Garmisch-Partenkirchen,VERFUEGBAR,47.483929564175995,11.127636015399,53,96
812,"Kreisklinik Wolfratshausen, Wolfratshausen",VERFUEGBAR,47.911741632379,11.42830038074,58,93
813,"RoMed Klinikum Rosenheim Prien, RoMed Klinikum Rosenheim",VERFUEGBAR,47.860327726243,12.131294595956,43,99
814,RoMed Klinik Bad Aibling,VERFUEGBAR,47.86582978883799,12.016939017044,65,96
815,"RoMed Klinikum Rosenheim Prien, RoMed Klinik Prien",VERFUEGBAR,47.849900900282,12.368072229647,50,100
816,Klinikum Traunstein,VERFUEGBAR,47.873837340771,12.632477474108,55,100
817,Kreisklinik Trostberg,VERFUEGBAR,48.028233656223,12.542008494493,59,100
818,"RoMed Klinik Wasserburg a. Inn, RoMed Klinik Wasserburg",VERFUEGBAR,48.06451611120999,12.215216946415,61,100
819,"Schön Klinik Vogtareuth SE & Co. KG, VOG",VERFUEGBAR,47.948462479834006,12.187999606149,43,95
820,"Asklepios Stadtklinik Bad Tölz, Hauptstandort",VERFUEGBAR,47.757119081793,11.55101943602,49,99
821,"Krankenhaus Agatharied GmbH, Krankenhaus Agatharied GmbH Hauptstandort",VERFUEGBAR,47.767884080114,11.827208483337,42,94
822,Krankenhaus Landshut-Achdorf,VERFUEGBAR,48.523488606062,12.14907485245,58,100
823,"Ilmtalklinik GmbH, Krankenhaus Mainburg",VERFUEGBAR,48.643031007474,11.779112415388,43,93
824,"DONAUISAR Klinikum Deggendorf-Dingolfing-Landau gKU, DONAUISAR Klinikum Dingolfing",VERFUEGBAR,48.622432196054,12.490362614384999,48,100
825,Krankenhaus Eggenfelden,VERFUEGBAR,48.413349264103005,12.760907650027,60,91
826,"Kreiskliniken des Landkreises Mühldorf a. Inn GmbH, Klinik Mühldorf a. Inn",VERFUEGBAR,48.242576224615,12.528822004779,60,96
827,InnKlinikum Altötting,VERFUEGBAR,48.233442539392996,12.675835087890999,51,98
828,"Klinikum Ingolstadt GmbH, Klinikum Ingolstadt",VERFUEGBAR,48.769912319551004,11.378481030497,58,98
829,"Kliniken im Naturpark Altmühltal GmbH, Klinik Eichstätt",VERFUEGBAR,48.889926102547996,11.19255137437,60,99
830,"Kliniken im Naturpark Altmühltal GmbH, Klinik Kösching",VERFUEGBAR,48.815009902091,11.506906270915,51,98
831,Vamed Klinik Kipfenberg,VERFUEGBAR,48.95200937965,11.394290506823001,57,97
832,"Helios Amper-Klinikum, Helios Amper-Klinikum Dachau",VERFUEGBAR,48.265405312502004,11.428862571847,46,94
833,"Ilmtalklinik GmbH, Ilmtalklinik Pfaffenhofen",VERFUEGBAR,48.518455639801,11.498787794261998,41,96
834,"Klinikum Freising GmbH Gemeinnützige Krankenhausgesellschaft des Landkreises Freising, Klinikum Freising GmbH",VERFUEGBAR,48.404856421336,11.744297325595,60,98
835,"Klinikum Landkreis Erding, Klinikum Erding",VERFUEGBAR,48.294507744628,11.896311521596001,61,91
836,"kbo-Isar-Amper-Klinikum gemeinnützige GmbH, Klinikum München Ost, kbo-Isar-Amper-Klinikum München-Ost",VERFUEGBAR,48.117000993997,11.743576884278,50,100
837,"Kreisklinik Ebersberg gemeinnützige GmbH, Hauptstandort",VERFUEGBAR,48.0765031604,11.961660030536,54,98
838,"Universitätsklinikum Augsburg, Medizincampus",VERFUEGBAR,48.384278099312,10.838583201161999,46,100
839,Orthopädische Fachkliniken der Hessing Stiftung,VERFUEGBAR,48.339586961280006,10.865911424144,36,95
840,Klinik Krumbach,VERFUEGBAR,48.237224764413995,10.365919098217,37,95
841,Wertachklinik Bobingen,VERFUEGBAR,48.281611472434996,10.822921514609,61,91
842,"Kliniken an der Paar - Krankenhaus Aichach, Hauptstandort",VERFUEGBAR,48.462053316678,11.139078319056,57,95
843,"KJF Klinik Sankt Elisabeth, Hauptstandort",VERFUEGBAR,48.730917748166,11.174331503752999,58,94
844,"Donau-Ries Kliniken, Stiftungskrankenhaus Nördlingen",VERFUEGBAR,48.837036815158996,10.498657465014,42,100
845,"Kliniken Ostallgäu-Kaufbeuren, AöR des Landkreises Ostallgäu und der Stadt Kaufbeuren - Klinik St. Josef Buchloe, Klinik Buchloe",VERFUEGBAR,48.033482431721,10.723814830176,54,97
846,Wertachklinik Schwabmünchen,VERFUEGBAR,48.175828972883,10.746090173769998,38,97
847,Klinikum Landsberg - Intensivstation,VERFUEGBAR,48.048700332184,10.855548977852001,40,92
848,Krankenhaus Schongau,VERFUEGBAR,47.825130185444,10.899176448501999,58,93
849,"Klinikverbund Kempten-Oberallgäu gGmbH, Klinikum Kempten",VERFUEGBAR,47.732855621457006,10.302372336273,37,93
850,St. Vinzenz Klinik Pfronten im Allgäu GmbH,VERFUEGBAR,47.58449384277,10.557490110332001,45,91
851,"Klinikverbund Allgäu, Klinik Immenstadt",VERFUEGBAR,47.562595220997,10.227857351319999,56,98
852,"Kliniken Ostallgäu-Kaufbeuren, AöR des Landkreises Ostallgäu und der Stadt Kaufbeuren - Klinikum Kaufbeuren, Klinikum Kaufbeuren",VERFUEGBAR,47.887952853231,10.611177205974,44,100
853,"Kliniken Ostallgäu-Kaufbeuren, AöR des Landkreises Ostallgäu und der Stadt Kaufbeuren - Klinik Füssen, Klinik Füssen",VERFUEGBAR,47.566905893499005,10.704689741069,50,100
854,"m&i-Fachklinik Enzensberg, Hauptstandort",VERFUEGBAR,47.613594164004,10.689736702479,45,95
855,"Kreisklinik Mindelheim, Kreiskliniken Unterallgäu, AöR des Landkreises Unterallgäu, Kreisklinik Mindelheim",VERFUEGBAR,48.041108630679,10.493712024763,43,99
856,"Kreisklinik Ottobeuren, Kreiskliniken Unterallgäu, AöR des Landkreises Unterallgäu, Kreisklinik Ottobeuren",VERFUEGBAR,47.943610694869,10.293265180662,51,95
857,"Städtisches Krankenhaus Friedrichshafen, Klinikum Friedrichshafen",VERFUEGBAR,47.673168568051004,9.430213451451,55,91
858,Klinik Tettnang,VERFUEGBAR,47.672547269716,9.597669124669,56,92
859,"Asklepios Klinik Lindau, Lindau (Bodensee)",VERFUEGBAR,47.563579550914,9.683587414102,38,95
860,"Rotkreuzklinik Lindenberg gGmbH, Rotkreuzklinik Lindenberg",VERFUEGBAR,47.611723599429,9.881648004039,38,97
861,"St.Elisabethen-Klinikum Ravensburg, Hauptstandort",VERFUEGBAR,47.787945360368994,9.621534937132,45,99
862,"Waldburg-Zeil Akutkliniken GmbH & Co. KG, Am Vogelherd 14, 88239 Wangen",VERFUEGBAR,47.698589217916,9.83571624769,41,98
863,"Westallgäu Klinikum, Oberschwabenklinik Westallgäu-Klinikum",VERFUEGBAR,47.692956868907004,9.844494031402,50,94
864,"Krankenhaus Bad Waldsee, Hauptstandort BW",VERFUEGBAR,47.924434205718,9.76083535591,53,97
865,"Sana Kliniken Landkreis Biberach GmbH, Sana Klinikum Biberach",VERFUEGBAR,48.096537126169004,9.773589849538,54,98
866,"Helios Spital Überlingen GmbH, Hauptstandort",VERFUEGBAR,47.774851468246005,9.150606572612,38,93
867,"Bundeswehrkrankenhaus Ulm, Bundswehrkrankenhaus Ulm",VERFUEGBAR,48.424756284497,9.948150694354,38,92
868,"Alb-Donau Klinikum, Alb-Donau Klinikum Blaubeuren",VERFUEGBAR,48.408743363767,9.789927720958,41,100
869,"Kreisspitalstiftung Weißenhorn - Stiftungsklinik Weißenhorn/Illertalklinik Illertissen, Stiftungsklinik Weißenhorn",VERFUEGBAR,48.311230925056,10.156311035189,44,100
870,Bezirkskrankenhaus Günzburg,VERFUEGBAR,48.460095023204005,10.291112423074,44,97
871,Klinik Günzburg,VERFUEGBAR,48.457438951419,10.293619376153,43,99
872,"m&i-Fachklinik Ichenhausen, Hauptstandort",VERFUEGBAR,48.365727416314,10.30843923334,56,100
873,"Kreisklinik St. Elisabeth, Dillingen, Krankenhaus St. Elisabeth Dillingen",VERFUEGBAR,48.575521066275996,10.478583946824,54,96
874,"Klinikum Heidenheim, Heidenheim",VERFUEGBAR,48.672888376688995,10.140581488618,57,93
875,"Alb-Donau Klinikum, Alb-Donau Klinikum Ehingen",VERFUEGBAR,48.280372716349,9.718173265392,48,95
876,"Klinik Hallerwiese-Cnopfsche Kinderklinik, Klinik Hallerwiese/Cnopfsche Kinderklinik",VERFUEGBAR,49.456952202572005,11.066573649637,52,95
877,"Klinikum Nürnberg, Klinikum Nürnberg Nord",VERFUEGBAR,49.463117134636,11.063412129879,45,98
878,"Klinikum Nürnberg, Klinikum Nürnberg Süd",VERFUEGBAR,49.412839747136005,11.149226188136,56,100
879,Krankenhaus Martha-Maria Nürnberg,VERFUEGBAR,49.482298504852,11.135901188822999,65,95
